File Name,Pitch Data
1.mid,"67,69,72,69,69,69,67,65,67,69,69,67,72,72,74,76,74,74,76,74,72,69,72,72,72,72,72,72,72,72,72,72,71,69,67,67,72,67,69,72,69,69,69,71,72,69,71,72,69,65,65,67,69,69,67,67"
2.mid,"67,72,72,74,72,72,76,74,74,74,76,77,76,74,72,74,76,72,71,72,72,71,69,65,69,72,74,72,74,76,77,76,74,74,72,72,74,69,69,67,67,69,71,72,71,69,72,71,69,67"
3.mid,"65,65,65,62,60,62,65,65,67,65,65,65,62,65,67,65,64,65,65,64,65,62,65,67,69,67,69,72,71,69,69,67,65,67,69,67,69,67,65,64,65,62,67,69,67,69,72,69,69,71,72,67,65,67,69,69,67,69,65,67,69,62,65,67,65,64,65,65,64,65,62,60,67,69,67,69,72,72,72,72,72,72,72,72,69,69,72,71,67,69,74,74,72,74,72,72,72,69,72,76,76,74,72,71,72,72,71,72,67,69,67,69,72,72,72,72,72,71,69,67,69,67,67,65,69,69,72,69,71,72,71,69,67,69,69,67,67,67,62,67,69,67,69,72,72,72,72,69,69,65,67,69,67,69,69,67,69,69,67,69,72,67,69,69,67,67,65,64,65,64,65,67,69,67,67,67,67,67,69,69,69,67,65,67,69,69,67,67,69,67,67,69,67,67,69,72,71,72,74,69,69,69,69,69,67,69,72,69,65,65,65,64,65,65,67,69,69,67,69,67,64"
4.mid,"69,65,69,69,72,74,72,69,72,72,72,74,76,72,71,72,74,72,74,74,72,72,72,69,72,72,67,69,67,65,67,67,65,65,69,72,74,69,72,74,77,74,76,77,76,74,72,74,74,72,72,71,69,72,72,67,69,67,67,67,67,65,69,71,69,67,69,71,72,71,69,67,69,71,72,71,67,65,65,69,71,69,65,69,67,65,69,67,69,71,69,67,69,67,67,65,69,72,72,74,74,72,72,71,71,69,67,72,74,72,72,72,71,71,69,71,71,69,71,67,67,69,71,69,67,69,67,67,65,67,67,65"
5.mid,"62,64,65,65,65,65,65,65,67,65,65,65,62,65,67,65,64,65,65,64,65,62,67,69,67,69,72,69,69,67,67,65,67,69,67,69,67,65,64,65,65,64,65,67,65,67,65,64,65,64,62,60,62,60,62,64,65,62,60,62,65,64,65,67,64,65,65,64,65,64,65,67,69,67,65,65,65,64,65,69,65,64,65,64,62,65,62,65,64,64,65,67,69,67,69,72,69,69,69,67,65,65,67,69,72,67,69,65,64,67,64,65,65,64,65,65,65,62,62,65,62,65,69,67,69,67,65,64,60,62,65,64,62,65,69,67,69,65,65,64,64,67,64,65,65,64"
6.mid,"55,59,59,55,65,67,65,64,62,60,62,62,62,62,62,60,65,65,67,65,65,65,67,69,67,65,67,65,64,62,60,62,65,62,62,59,60,62,62,62,62,60,65,67,65,67,69,69,65,67,69,67,65,67,65,64,62,62"
7.mid,"64,64,62,65,67,65,67,69,69,67,65,67,69,69,72,72,74,74,72,71,72,67,69,69,69,71,72,72,71,69,67,65,65,65,67,69,69,67,71,71,69,67,69,69,69"
8.mid,"69,67,65,67,69,71,69,67,69,69,69,72,72,74,72,71,72,71,69,69,71,67,65,67,71,69,67,69,69"
9.mid,"72,71,69,72,74,72,71,69,67,69,69,65,67,71,67,71,69,67,69,65,67,67,67,67,69,71,72,72,72,71,69,71,71,71,69,71,72,69,65,67,67,67,69,71,72,71,74,72,69,71,67,65,67,69,69"
10.mid,"69,67,69,72,71,67,65,67,67,65,67,69,69,69,71,72,72,71,69,67,65,67,69,71,69,67,69,69"
11.mid,"62,62,62,69,69,67,67,69,67,69,72,72,71,69,67,69,69,69,67,65,67,69,67,65,64,62,62,62,64,64,60,64,67,67,64,65,64,62,69,72,72,71,67,69,67,64,65,64,60"
