File Name,Pitch Data,Normalized Pitch Data
1.mid,"67,69,72,69,69,69,67,65,67,69,69,67,72,72,74,76,74,74,76,74,72,69,72,72,72,72,72,72,72,72,72,72,71,69,67,67,72,67,69,72,69,69,69,71,72,69,71,72,69,65,65,67,69,69,67,67","0.42857142857142855,0.5,0.6071428571428571,0.5,0.5,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.5,0.42857142857142855,0.6071428571428571,0.6071428571428571,0.6785714285714286,0.75,0.6785714285714286,0.6785714285714286,0.75,0.6785714285714286,0.6071428571428571,0.5,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5,0.42857142857142855,0.42857142857142855,0.6071428571428571,0.42857142857142855,0.5,0.6071428571428571,0.5,0.5,0.5,0.5714285714285714,0.6071428571428571,0.5,0.5714285714285714,0.6071428571428571,0.5,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.5,0.5,0.42857142857142855,0.42857142857142855"
2.mid,"67,72,72,74,72,72,76,74,74,74,76,77,76,74,72,74,76,72,71,72,72,71,69,65,69,72,74,72,74,76,77,76,74,74,72,72,74,69,69,67,67,69,71,72,71,69,72,71,69,67","0.42857142857142855,0.6071428571428571,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.75,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.75,0.7857142857142857,0.75,0.6785714285714286,0.6071428571428571,0.6785714285714286,0.75,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5,0.35714285714285715,0.5,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.6785714285714286,0.75,0.7857142857142857,0.75,0.6785714285714286,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.6785714285714286,0.5,0.5,0.42857142857142855,0.42857142857142855,0.5,0.5714285714285714,0.6071428571428571,0.5714285714285714,0.5,0.6071428571428571,0.5714285714285714,0.5,0.42857142857142855"
3.mid,"65,65,65,62,60,62,65,65,67,65,65,65,62,65,67,65,64,65,65,64,65,62,65,67,69,67,69,72,71,69,69,67,65,67,69,67,69,67,65,64,65,62,67,69,67,69,72,69,69,71,72,67,65,67,69,69,67,69,65,67,69,62,65,67,65,64,65,65,64,65,62,60,67,69,67,69,72,72,72,72,72,72,72,72,69,69,72,71,67,69,74,74,72,74,72,72,72,69,72,76,76,74,72,71,72,72,71,72,67,69,67,69,72,72,72,72,72,71,69,67,69,67,67,65,69,69,72,69,71,72,71,69,67,69,69,67,67,67,62,67,69,67,69,72,72,72,72,69,69,65,67,69,67,69,69,67,69,69,67,69,72,67,69,69,67,67,65,64,65,64,65,67,69,67,67,67,67,67,69,69,69,67,65,67,69,69,67,67,69,67,67,69,67,67,69,72,71,72,74,69,69,69,69,69,67,69,72,69,65,65,65,64,65,65,67,69,69,67,69,67,64","0.35714285714285715,0.35714285714285715,0.35714285714285715,0.25,0.17857142857142858,0.25,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.25,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.25,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.5,0.6071428571428571,0.5714285714285714,0.5,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.25,0.42857142857142855,0.5,0.42857142857142855,0.5,0.6071428571428571,0.5,0.5,0.5714285714285714,0.6071428571428571,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.5,0.42857142857142855,0.5,0.35714285714285715,0.42857142857142855,0.5,0.25,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.25,0.17857142857142858,0.42857142857142855,0.5,0.42857142857142855,0.5,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5,0.5,0.6071428571428571,0.5714285714285714,0.42857142857142855,0.5,0.6785714285714286,0.6785714285714286,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5,0.6071428571428571,0.75,0.75,0.6785714285714286,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.42857142857142855,0.5,0.42857142857142855,0.5,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.5,0.5,0.6071428571428571,0.5,0.5714285714285714,0.6071428571428571,0.5714285714285714,0.5,0.42857142857142855,0.5,0.5,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.25,0.42857142857142855,0.5,0.42857142857142855,0.5,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5,0.5,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.5,0.5,0.42857142857142855,0.5,0.5,0.42857142857142855,0.5,0.6071428571428571,0.42857142857142855,0.5,0.5,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5,0.5,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.5,0.42857142857142855,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855,0.5,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.6785714285714286,0.5,0.5,0.5,0.5,0.5,0.42857142857142855,0.5,0.6071428571428571,0.5,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.5,0.5,0.42857142857142855,0.5,0.42857142857142855,0.32142857142857145"
4.mid,"69,65,69,69,72,74,72,69,72,72,72,74,76,72,71,72,74,72,74,74,72,72,72,69,72,72,67,69,67,65,67,67,65,65,69,72,74,69,72,74,77,74,76,77,76,74,72,74,74,72,72,71,69,72,72,67,69,67,67,67,67,65,69,71,69,67,69,71,72,71,69,67,69,71,72,71,67,65,65,69,71,69,65,69,67,65,69,67,69,71,69,67,69,67,67,65,69,72,72,74,74,72,72,71,71,69,67,72,74,72,72,72,71,71,69,71,71,69,71,67,67,69,71,69,67,69,67,67,65,67,67,65","0.5,0.35714285714285715,0.5,0.5,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.5,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6785714285714286,0.75,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.6785714285714286,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5,0.6071428571428571,0.6071428571428571,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.5,0.6071428571428571,0.6785714285714286,0.5,0.6071428571428571,0.6785714285714286,0.7857142857142857,0.6785714285714286,0.75,0.7857142857142857,0.75,0.6785714285714286,0.6071428571428571,0.6785714285714286,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5,0.6071428571428571,0.6071428571428571,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.5,0.5714285714285714,0.5,0.42857142857142855,0.5,0.5714285714285714,0.6071428571428571,0.5714285714285714,0.5,0.42857142857142855,0.5,0.5714285714285714,0.6071428571428571,0.5714285714285714,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.5,0.5714285714285714,0.5,0.35714285714285715,0.5,0.42857142857142855,0.35714285714285715,0.5,0.42857142857142855,0.5,0.5714285714285714,0.5,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.5,0.6071428571428571,0.6071428571428571,0.6785714285714286,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5714285714285714,0.5,0.42857142857142855,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5714285714285714,0.5,0.5714285714285714,0.5714285714285714,0.5,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.5,0.5714285714285714,0.5,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.35714285714285715"
5.mid,"62,64,65,65,65,65,65,65,67,65,65,65,62,65,67,65,64,65,65,64,65,62,67,69,67,69,72,69,69,67,67,65,67,69,67,69,67,65,64,65,65,64,65,67,65,67,65,64,65,64,62,60,62,60,62,64,65,62,60,62,65,64,65,67,64,65,65,64,65,64,65,67,69,67,65,65,65,64,65,69,65,64,65,64,62,65,62,65,64,64,65,67,69,67,69,72,69,69,69,67,65,65,67,69,72,67,69,65,64,67,64,65,65,64,65,65,65,62,62,65,62,65,69,67,69,67,65,64,60,62,65,64,62,65,69,67,69,65,65,64,64,67,64,65,65,64","0.25,0.32142857142857145,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.25,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.25,0.42857142857142855,0.5,0.42857142857142855,0.5,0.6071428571428571,0.5,0.5,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.32142857142857145,0.25,0.17857142857142858,0.25,0.17857142857142858,0.25,0.32142857142857145,0.35714285714285715,0.25,0.17857142857142858,0.25,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.32142857142857145,0.35714285714285715,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.5,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.32142857142857145,0.25,0.35714285714285715,0.25,0.35714285714285715,0.32142857142857145,0.32142857142857145,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.5,0.6071428571428571,0.5,0.5,0.5,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.5,0.6071428571428571,0.42857142857142855,0.5,0.35714285714285715,0.32142857142857145,0.42857142857142855,0.32142857142857145,0.35714285714285715,0.35714285714285715,0.32142857142857145,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.25,0.25,0.35714285714285715,0.25,0.35714285714285715,0.5,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.17857142857142858,0.25,0.35714285714285715,0.32142857142857145,0.25,0.35714285714285715,0.5,0.42857142857142855,0.5,0.35714285714285715,0.35714285714285715,0.32142857142857145,0.32142857142857145,0.42857142857142855,0.32142857142857145,0.35714285714285715,0.35714285714285715,0.32142857142857145"
6.mid,"55,59,59,55,65,67,65,64,62,60,62,62,62,62,62,60,65,65,67,65,65,65,67,69,67,65,67,65,64,62,60,62,65,62,62,59,60,62,62,62,62,60,65,67,65,67,69,69,65,67,69,67,65,67,65,64,62,62","0.0,0.14285714285714285,0.14285714285714285,0.0,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.25,0.17857142857142858,0.25,0.25,0.25,0.25,0.25,0.17857142857142858,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.25,0.17857142857142858,0.25,0.35714285714285715,0.25,0.25,0.14285714285714285,0.17857142857142858,0.25,0.25,0.25,0.25,0.17857142857142858,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.5,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.25,0.25"
7.mid,"64,64,62,65,67,65,67,69,69,67,65,67,69,69,72,72,74,74,72,71,72,67,69,69,69,71,72,72,71,69,67,65,65,65,67,69,69,67,71,71,69,67,69,69,69","0.32142857142857145,0.32142857142857145,0.25,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.5,0.6071428571428571,0.6071428571428571,0.6785714285714286,0.6785714285714286,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.42857142857142855,0.5,0.5,0.5,0.5714285714285714,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.5,0.5,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5,0.42857142857142855,0.5,0.5,0.5"
8.mid,"69,67,65,67,69,71,69,67,69,69,69,72,72,74,72,71,72,71,69,69,71,67,65,67,71,69,67,69,69","0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.5714285714285714,0.5,0.42857142857142855,0.5,0.5,0.5,0.6071428571428571,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.5714285714285714,0.5,0.5,0.5714285714285714,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5714285714285714,0.5,0.42857142857142855,0.5,0.5"
9.mid,"72,71,69,72,74,72,71,69,67,69,69,65,67,71,67,71,69,67,69,65,67,67,67,67,69,71,72,72,72,71,69,71,71,71,69,71,72,69,65,67,67,67,69,71,72,71,74,72,69,71,67,65,67,69,69","0.6071428571428571,0.5714285714285714,0.5,0.6071428571428571,0.6785714285714286,0.6071428571428571,0.5714285714285714,0.5,0.42857142857142855,0.5,0.5,0.35714285714285715,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.5,0.42857142857142855,0.5,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5,0.5714285714285714,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5,0.5714285714285714,0.6071428571428571,0.5,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5,0.5714285714285714,0.6071428571428571,0.5714285714285714,0.6785714285714286,0.6071428571428571,0.5,0.5714285714285714,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.5"
10.mid,"69,67,69,72,71,67,65,67,67,65,67,69,69,69,71,72,72,71,69,67,65,67,69,71,69,67,69,69","0.5,0.42857142857142855,0.5,0.6071428571428571,0.5714285714285714,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.5,0.5,0.5714285714285714,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.5714285714285714,0.5,0.42857142857142855,0.5,0.5"
